[06/14/2021 04:46:59 PM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 04:47:06 PM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 04:47:07 PM][ INFO    ] TSL storage extension loaded.
[06/14/2021 04:47:07 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 04:47:07 PM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 04:47:07 PM][ INFO    ] Scanning for startup tasks.
[06/14/2021 04:47:07 PM][ INFO    ] EventLoop: Starting.
[06/14/2021 04:47:07 PM][ INFO    ] Listening endpoint :5304
[06/14/2021 04:47:07 PM][ INFO    ] Waiting for client connection ...
[06/14/2021 04:47:07 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 04:47:07 PM][ ERROR   ] Failed to start HTTP server. HTTP endpoints are disabled.
[06/14/2021 04:47:07 PM][ INFO    ] *****************************************************
[06/14/2021 04:47:07 PM][ INFO    ] ServerCount: 0
[06/14/2021 04:47:07 PM][ INFO    ] ProxyCount: 0
[06/14/2021 04:47:07 PM][ INFO    ] *****************************************************
[06/14/2021 04:47:07 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 04:47:08 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 04:47:08 PM][ INFO    ] Initializing logging facility
[06/14/2021 04:47:08 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_101.dat
[06/14/2021 04:47:08 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 04:47:09 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 04:47:09 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 04:47:09 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 04:47:09 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 04:47:09 PM][ INFO    ] LoggingLevel: Info
[06/14/2021 04:47:09 PM][ INFO    ] HttpPort:     8081
[06/14/2021 04:47:09 PM][ INFO    ] Server 0 is successfully started.
[06/14/2021 04:47:09 PM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 04:47:14 PM][ INFO    ] Load storage complete, image version = 100
[06/14/2021 04:47:14 PM][ INFO    ] Initializing logging facility
[06/14/2021 04:47:14 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_101.dat
[06/14/2021 04:47:14 PM][ INFO    ] Reading log file.
[06/14/2021 04:47:14 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/14/2021 04:47:14 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_100.dat
[06/14/2021 04:47:14 PM][ INFO    ] Loading cell type signatures.
