[06/14/2021 08:21:12 AM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 08:21:15 AM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 08:21:15 AM][ INFO    ] TSL storage extension loaded.
[06/14/2021 08:21:15 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 08:21:15 AM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 08:21:15 AM][ INFO    ] Scanning for startup tasks.
[06/14/2021 08:21:15 AM][ INFO    ] EventLoop: Starting.
[06/14/2021 08:21:15 AM][ INFO    ] Listening endpoint :5304
[06/14/2021 08:21:15 AM][ INFO    ] Waiting for client connection ...
[06/14/2021 08:21:15 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 08:21:15 AM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 08:21:15 AM][ INFO    ] *****************************************************
[06/14/2021 08:21:15 AM][ INFO    ] ServerCount: 0
[06/14/2021 08:21:15 AM][ INFO    ] ProxyCount: 0
[06/14/2021 08:21:15 AM][ INFO    ] *****************************************************
[06/14/2021 08:21:15 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 08:21:16 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 08:21:16 AM][ INFO    ] Initializing logging facility
[06/14/2021 08:21:16 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_85.dat
[06/14/2021 08:21:16 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 08:21:16 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 08:21:16 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 08:21:16 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 08:21:16 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 08:21:16 AM][ INFO    ] LoggingLevel: Info
[06/14/2021 08:21:16 AM][ INFO    ] HttpPort:     8081
[06/14/2021 08:21:16 AM][ INFO    ] Server 0 is successfully started.
[06/14/2021 08:21:16 AM][ INFO    ] Resetting storage.
[06/14/2021 08:21:17 AM][ INFO    ] Reset storage complete, image version = 86
[06/14/2021 08:21:17 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_85.dat
[06/14/2021 08:21:17 AM][ INFO    ] Initializing logging facility
[06/14/2021 08:21:17 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_86.dat
[06/14/2021 08:21:17 AM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 08:21:20 AM][ INFO    ] Save storage complete, image version = 87.
[06/14/2021 08:21:20 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_87.dat
[06/14/2021 08:21:20 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_86.dat
[06/14/2021 08:21:20 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 08:21:20 AM][ INFO    ] Loading storage from [SLOT B]
[06/14/2021 08:21:23 AM][ INFO    ] Load storage complete, image version = 87
[06/14/2021 08:21:23 AM][ INFO    ] Initializing logging facility
[06/14/2021 08:21:23 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_87.dat
[06/14/2021 08:21:23 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_87.dat
[06/14/2021 08:21:23 AM][ INFO    ] Loading cell type signatures.
[06/14/2021 08:21:23 AM][ INFO    ] Loading storage from [SLOT B]
[06/14/2021 08:21:25 AM][ INFO    ] Load storage complete, image version = 87
[06/14/2021 08:21:25 AM][ INFO    ] Initializing logging facility
[06/14/2021 08:21:25 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_87.dat
[06/14/2021 08:21:25 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_87.dat
[06/14/2021 08:21:25 AM][ INFO    ] Loading cell type signatures.
