[06/14/2021 12:52:10 PM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 12:52:12 PM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 12:52:12 PM][ INFO    ] TSL storage extension loaded.
[06/14/2021 12:52:12 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 12:52:12 PM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 12:52:12 PM][ INFO    ] Scanning for startup tasks.
[06/14/2021 12:52:12 PM][ INFO    ] EventLoop: Starting.
[06/14/2021 12:52:12 PM][ INFO    ] Listening endpoint :5304
[06/14/2021 12:52:12 PM][ INFO    ] Waiting for client connection ...
[06/14/2021 12:52:12 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 12:52:12 PM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 12:52:12 PM][ INFO    ] *****************************************************
[06/14/2021 12:52:12 PM][ INFO    ] ServerCount: 0
[06/14/2021 12:52:12 PM][ INFO    ] ProxyCount: 0
[06/14/2021 12:52:12 PM][ INFO    ] *****************************************************
[06/14/2021 12:52:12 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 12:52:12 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 12:52:12 PM][ INFO    ] Initializing logging facility
[06/14/2021 12:52:12 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_98.dat
[06/14/2021 12:52:12 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 12:52:12 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 12:52:12 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 12:52:12 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 12:52:12 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 12:52:12 PM][ INFO    ] LoggingLevel: Info
[06/14/2021 12:52:12 PM][ INFO    ] HttpPort:     8081
[06/14/2021 12:52:12 PM][ INFO    ] Server 0 is successfully started.
[06/14/2021 12:52:13 PM][ INFO    ] Loading storage from [SLOT B]
[06/14/2021 12:52:15 PM][ INFO    ] Load storage complete, image version = 97
[06/14/2021 12:52:15 PM][ INFO    ] Initializing logging facility
[06/14/2021 12:52:15 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_98.dat
[06/14/2021 12:52:15 PM][ INFO    ] Reading log file.
[06/14/2021 12:52:15 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/14/2021 12:52:15 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_97.dat
[06/14/2021 12:52:15 PM][ INFO    ] Loading cell type signatures.
[06/14/2021 12:52:25 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 12:52:28 PM][ INFO    ] Save storage complete, image version = 98.
[06/14/2021 12:52:28 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_98.dat
[06/14/2021 12:52:28 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_97.dat
[06/14/2021 12:52:28 PM][ INFO    ] Saving cell type signatures.
