[06/14/2021 11:15:24 AM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 11:15:26 AM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 11:15:27 AM][ INFO    ] TSL storage extension loaded.
[06/14/2021 11:15:27 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 11:15:27 AM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 11:15:27 AM][ INFO    ] Scanning for startup tasks.
[06/14/2021 11:15:27 AM][ INFO    ] EventLoop: Starting.
[06/14/2021 11:15:27 AM][ INFO    ] Listening endpoint :5304
[06/14/2021 11:15:27 AM][ INFO    ] Waiting for client connection ...
[06/14/2021 11:15:27 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 11:15:27 AM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 11:15:27 AM][ INFO    ] *****************************************************
[06/14/2021 11:15:27 AM][ INFO    ] ServerCount: 0
[06/14/2021 11:15:27 AM][ INFO    ] ProxyCount: 0
[06/14/2021 11:15:27 AM][ INFO    ] *****************************************************
[06/14/2021 11:15:27 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 11:15:27 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 11:15:27 AM][ INFO    ] Initializing logging facility
[06/14/2021 11:15:27 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_91.dat
[06/14/2021 11:15:27 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 11:15:27 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 11:15:27 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 11:15:27 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 11:15:28 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 11:15:28 AM][ INFO    ] LoggingLevel: Info
[06/14/2021 11:15:28 AM][ INFO    ] HttpPort:     8081
[06/14/2021 11:15:28 AM][ INFO    ] Server 0 is successfully started.
[06/14/2021 11:15:28 AM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 11:15:33 AM][ INFO    ] Load storage complete, image version = 90
[06/14/2021 11:15:33 AM][ INFO    ] Initializing logging facility
[06/14/2021 11:15:33 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_91.dat
[06/14/2021 11:15:33 AM][ INFO    ] Reading log file.
[06/14/2021 11:15:33 AM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/14/2021 11:15:33 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_90.dat
[06/14/2021 11:15:33 AM][ INFO    ] Loading cell type signatures.
[06/14/2021 11:17:07 AM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 11:17:10 AM][ INFO    ] Save storage complete, image version = 91.
[06/14/2021 11:17:10 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_91.dat
[06/14/2021 11:17:10 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_90.dat
[06/14/2021 11:17:10 AM][ INFO    ] Saving cell type signatures.
