[06/08/2021 03:20:55 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 03:20:57 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 03:20:57 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 03:20:57 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 03:20:57 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 03:20:57 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 03:20:57 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 03:20:58 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 03:20:58 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:20:58 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_23.dat
[06/08/2021 03:20:58 PM][ INFO    ] Resetting storage.
[06/08/2021 03:20:59 PM][ INFO    ] Reset storage complete, image version = 24
[06/08/2021 03:20:59 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_23.dat
[06/08/2021 03:20:59 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:20:59 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_24.dat
[06/08/2021 03:20:59 PM][ INFO    ] Saving storage to [SLOT A]
[06/08/2021 03:21:02 PM][ INFO    ] Save storage complete, image version = 25.
[06/08/2021 03:21:02 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_25.dat
[06/08/2021 03:21:02 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_24.dat
[06/08/2021 03:21:02 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 03:21:02 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 03:21:06 PM][ INFO    ] Load storage complete, image version = 25
[06/08/2021 03:21:06 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:21:06 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_25.dat
[06/08/2021 03:21:06 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_25.dat
[06/08/2021 03:21:06 PM][ INFO    ] Loading cell type signatures.
[06/08/2021 03:21:06 PM][ INFO    ] Saving storage to [SLOT B]
[06/08/2021 03:21:09 PM][ INFO    ] Save storage complete, image version = 26.
[06/08/2021 03:21:09 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_26.dat
[06/08/2021 03:21:09 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_25.dat
[06/08/2021 03:21:09 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 03:21:10 PM][ INFO    ] Listening endpoint :5304
[06/08/2021 03:21:10 PM][ INFO    ] Waiting for client connection ...
[06/08/2021 03:21:10 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/08/2021 03:21:10 PM][ ERROR   ] Failed to start HTTP server. HTTP endpoints are disabled.
[06/08/2021 03:21:10 PM][ INFO    ] *****************************************************
[06/08/2021 03:21:10 PM][ INFO    ] ServerCount: 0
[06/08/2021 03:21:10 PM][ INFO    ] ProxyCount: 0
[06/08/2021 03:21:10 PM][ INFO    ] *****************************************************
[06/08/2021 03:21:10 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/08/2021 03:21:10 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/08/2021 03:21:10 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/08/2021 03:21:10 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\
[06/08/2021 03:21:10 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\
[06/08/2021 03:21:10 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/08/2021 03:21:10 PM][ INFO    ] LoggingLevel: Info
[06/08/2021 03:21:10 PM][ INFO    ] HttpPort:     80
[06/08/2021 03:21:10 PM][ INFO    ] Server 0 is successfully started.
[06/08/2021 03:21:10 PM][ ERROR   ] CommunicationInstance: System.InvalidOperationException: Cannot start multiple communication instances.
   at Trinity.Global.set_CommunicationInstance(CommunicationInstance value)
   at Trinity.Network.CommunicationInstance.Start()
