[06/08/2021 12:36:19 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 12:36:20 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 12:36:21 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 12:36:21 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 12:36:21 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 12:36:21 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 12:36:21 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 12:36:22 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 12:36:25 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 12:36:25 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:36:26 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_2.dat
[06/08/2021 12:36:26 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 12:36:31 PM][ INFO    ] Load storage complete, image version = 1
[06/08/2021 12:36:31 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:36:31 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_2.dat
[06/08/2021 12:36:31 PM][ INFO    ] Reading log file.
[06/08/2021 12:36:31 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/08/2021 12:36:31 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_1.dat
[06/08/2021 12:36:31 PM][ INFO    ] Loading cell type signatures.
[06/08/2021 12:36:52 PM][ WARNING ] The disk image contains more cell types than defined in the loaded TSL storage extension!
[06/08/2021 12:36:52 PM][ ERROR   ] Inconsistent cell type signature for type #0.
[06/08/2021 12:36:52 PM][ ERROR   ] Expecting: {{string|{List<string>|List<{string|optional string|optional List<{string|string}>}>}|optional List<string>}|{TCSTrustLevel|optional string|optional string|optional string}}.
[06/08/2021 12:36:52 PM][ ERROR   ] Got: {string|byte|bool|long|long}.
